id;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
1;52;technician;married;high.school;0;1;0;cellular;0v;tue;1;999;0;0nexistent;-0.1;93.2;-42;4.153;5195.8;0
2;33;admin.;single;university.degree;0;1;0;cellular;0v;thu;1;999;0;0nexistent;-0.1;93.2;-42;4.076;5195.8;0
5;54;admin.;single;university.degree;0;1;0;cellular;may;mon;1;999;0;0nexistent;-1.8;92.893;-46.2;1.264;5099.1;0
6;53;housemaid;married;high.school;0;0;1;cellular;jun;thu;1;999;2;failure;-2.9;92.963;-40.8;1.26;5076.2;1
8;42;self-employed;married;university.degree;NA;1;0;cellular;aug;tue;2;999;0;0nexistent;1.4;93.444;-36.1;4.966;5228.1;0
10;36;management;married;university.degree;0;0;1;cellular;jul;wed;4;999;0;0nexistent;1.4;93.918;-42.7;4.963;5228.1;0
11;40;technician;divorced;university.degree;0;1;0;cellular;apr;thu;1;999;0;0nexistent;-1.8;93.075;-47.1;1.365;5099.1;1
12;44;blue-collar;single;basic.4y;0;1;0;cellular;mar;tue;2;999;0;0nexistent;-1.8;92.843;-50;1.51;5099.1;1
14;36;technician;divorced;professional.course;0;0;0;telephone;may;wed;1;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;0
15;48;management;married;university.degree;0;0;0;cellular;jul;thu;4;999;0;0nexistent;1.4;93.918;-42.7;4.968;5228.1;0
16;48;admin.;single;university.degree;0;1;0;cellular;apr;fri;1;999;0;0nexistent;-1.8;93.075;-47.1;1.405;5099.1;0
18;27;admin.;married;high.school;0;1;0;cellular;jul;mon;2;999;0;0nexistent;1.4;93.918;-42.7;4.962;5228.1;0
19;29;admin.;single;high.school;0;0;0;cellular;jul;fri;2;999;0;0nexistent;1.4;93.918;-42.7;4.963;5228.1;0
23;31;technician;single;high.school;0;0;0;cellular;aug;wed;2;999;0;0nexistent;1.4;93.444;-36.1;4.967;5228.1;0
24;60;admin.;divorced;high.school;0;1;0;cellular;jul;fri;1;999;0;0nexistent;1.4;93.918;-42.7;4.957;5228.1;0
27;34;technician;married;professional.course;0;0;0;cellular;may;fri;2;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1;0
28;28;admin.;married;high.school;0;0;0;cellular;may;wed;1;999;0;0nexistent;-1.8;92.893;-46.2;1.334;5099.1;0
29;29;management;married;university.degree;0;0;0;cellular;0v;fri;4;999;0;0nexistent;-0.1;93.2;-42;4.021;5195.8;0
30;46;services;married;basic.6y;0;1;0;cellular;aug;fri;5;999;0;0nexistent;1.4;93.444;-36.1;4.966;5228.1;0
31;31;services;single;high.school;0;0;0;cellular;may;wed;2;999;0;0nexistent;-1.8;92.893;-46.2;1.281;5099.1;1
32;25;blue-collar;single;high.school;0;1;0;cellular;jul;tue;1;999;0;0nexistent;1.4;93.918;-42.7;4.961;5228.1;0
33;42;admin.;married;high.school;0;0;0;cellular;apr;fri;2;999;0;0nexistent;-1.8;93.075;-47.1;1.479;5099.1;0
34;32;blue-collar;married;professional.course;0;1;0;cellular;may;thu;1;999;0;0nexistent;-1.8;92.893;-46.2;1.266;5099.1;0
35;39;blue-collar;divorced;basic.6y;NA;1;0;telephone;may;tue;2;999;0;0nexistent;1.1;93.994;-36.4;4.857;5191;0
36;35;admin.;divorced;university.degree;0;1;0;cellular;0v;fri;3;999;1;failure;-0.1;93.2;-42;4.021;5195.8;0
37;56;management;married;NA;0;0;0;telephone;may;tue;1;999;0;0nexistent;1.1;93.994;-36.4;4.856;5191;0
38;39;services;married;university.degree;0;0;0;cellular;apr;thu;1;999;0;0nexistent;-1.8;93.075;-47.1;1.365;5099.1;1
39;43;admin.;single;university.degree;0;1;0;telephone;may;tue;1;999;0;0nexistent;-1.8;92.893;-46.2;1.291;5099.1;0
40;52;technician;divorced;university.degree;0;1;1;cellular;aug;wed;4;999;0;0nexistent;1.4;93.444;-36.1;4.967;5228.1;0
42;53;admin.;married;university.degree;NA;1;0;cellular;aug;mon;3;999;0;0nexistent;1.4;93.444;-36.1;4.965;5228.1;0
43;43;admin.;married;high.school;0;0;0;telephone;jun;fri;10;999;0;0nexistent;1.4;94.465;-41.8;4.959;5228.1;1
45;26;student;single;basic.9y;0;1;0;cellular;aug;wed;1;999;0;0nexistent;-2.9;92.201;-31.4;0.879;5076.2;1
46;24;admin.;single;university.degree;0;1;0;cellular;0v;wed;1;9;3;failure;-3.4;92.649;-30.1;0.716;5017.5;0
47;36;management;single;high.school;0;0;0;cellular;apr;mon;2;999;0;0nexistent;-1.8;93.075;-47.1;1.405;5099.1;0
48;31;blue-collar;married;basic.6y;NA;0;0;cellular;may;thu;1;6;1;success;-1.8;92.893;-46.2;1.266;5099.1;1
49;32;services;married;basic.4y;NA;0;0;cellular;jul;mon;4;999;0;0nexistent;1.4;93.918;-42.7;4.96;5228.1;1
50;30;unemployed;single;university.degree;0;1;1;cellular;jul;wed;3;999;0;0nexistent;1.4;93.918;-42.7;4.963;5228.1;0
